Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",4.4
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"Prince Albert, SK",8
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,"Prince Albert, SK",7.5
Employment Status,1012_c - Full-time or part-time student,Age group,55 years or more,"Prince Albert, SK",12.5
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,"Regina, SK",11.1
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"Regina, SK",7.6
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,"Regina, SK",2.1
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,"Winnipeg, MN",21.1
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"Winnipeg, MN",3.8
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,"Winnipeg, MN",8.2
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,"Thunder Bay, ON",4.8
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"Thunder Bay, ON",3.7
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,"London, ON",8.3
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"London, ON",1.1
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,"London, ON",1.2
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,"Hamilton, ON",5.7
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,"Hamilton, ON",1.6
Employment Status,1012_c - Full-time or part-time student,Age group,55 years or more,"Hamilton, ON",2.8
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,New Brunswick,20
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,New Brunswick,1
Employment Status,1012_c - Full-time or part-time student,Age group,40 to 54 years,New Brunswick,2.7
Employment Status,1012_c - Full-time or part-time student,Age group,Less than 25 years,Newfoundland,15.4
Employment Status,1012_c - Full-time or part-time student,Age group,25 to 39 years,Newfoundland,8.1
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,"Whitehorse, YK",8
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"Whitehorse, YK",12.5
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,"Central and Northern Vancouver Island, BC",5
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"Central and Northern Vancouver Island, BC",4.3
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,"Prince Albert, SK",7.4
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"Prince Albert, SK",7.5
Employment Status,1012_c - Full-time or part-time student,Gender lived,TFEM,"Prince Albert, SK",50
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,"Regina, SK",2.6
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"Regina, SK",4.1
Employment Status,1012_c - Full-time or part-time student,Gender lived,TMAS,"Regina, SK",66.7
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,"Winnipeg, MN",7.9
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"Winnipeg, MN",5.3
Employment Status,1012_c - Full-time or part-time student,Gender lived,TMAS,"Winnipeg, MN",20
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"Thunder Bay, ON",4.2
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,"London, ON",2.4
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"London, ON",1.3
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,"Hamilton, ON",2.2
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,"Hamilton, ON",2.8
Employment Status,1012_c - Full-time or part-time student,Gender lived,TFEM,"Hamilton, ON",50
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisF,New Brunswick,4.3
Employment Status,1012_c - Full-time or part-time student,Gender lived,CisM,New Brunswick,1.6
Employment Status,1012_d - Retired,None,None,Canada,3.5
Employment Status,1012_d - Retired,Age group,25 to 39 years,Canada,0.9
Employment Status,1012_d - Retired,Age group,40 to 54 years,Canada,2.2
Employment Status,1012_d - Retired,Age group,55 years or more,Canada,21.5
Employment Status,1012_d - Retired,Gender lived,CisF,Canada,2.7
Employment Status,1012_d - Retired,Gender lived,CisM,Canada,3.9
Employment Status,1012_d - Retired,Gender lived,TFEM,Canada,5.6
Employment Status,1012_d - Retired,None,None,"Central and Northern Vancouver Island, BC",2.8
Employment Status,1012_d - Retired,None,None,"Prince Albert, SK",1.7
Employment Status,1012_d - Retired,None,None,"Regina, SK",2.5
Employment Status,1012_d - Retired,None,None,"Winnipeg, MN",5
Employment Status,1012_d - Retired,None,None,"Thunder Bay, ON",2
Employment Status,1012_d - Retired,None,None,"London, ON",2.4
Employment Status,1012_d - Retired,None,None,"Hamilton, ON",12.3
Employment Status,1012_d - Retired,None,None,New Brunswick,2.5
Employment Status,1012_d - Retired,None,None,Newfoundland,2.3
Employment Status,1012_d - Retired,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",1.1
Employment Status,1012_d - Retired,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",4.3
Employment Status,1012_d - Retired,Age group,55 years or more,"Central and Northern Vancouver Island, BC",11.1
Employment Status,1012_d - Retired,Age group,25 to 39 years,"Prince Albert, SK",2
Employment Status,1012_d - Retired,Age group,55 years or more,"Prince Albert, SK",12.5
Employment Status,1012_d - Retired,Age group,40 to 54 years,"Regina, SK",1.1
Employment Status,1012_d - Retired,Age group,55 years or more,"Regina, SK",17.4
Employment Status,1012_d - Retired,Age group,25 to 39 years,"Winnipeg, MN",2.5
Employment Status,1012_d - Retired,Age group,40 to 54 years,"Winnipeg, MN",6.7
Employment Status,1012_d - Retired,Age group,55 years or more,"Winnipeg, MN",15
Employment Status,1012_d - Retired,Age group,25 to 39 years,"Thunder Bay, ON",1.9
Employment Status,1012_d - Retired,Age group,40 to 54 years,"Thunder Bay, ON",1.8
Employment Status,1012_d - Retired,Age group,55 years or more,"Thunder Bay, ON",6.7
Employment Status,1012_d - Retired,Age group,40 to 54 years,"London, ON",3.7
Employment Status,1012_d - Retired,Age group,55 years or more,"London, ON",8
Employment Status,1012_d - Retired,Age group,40 to 54 years,"Hamilton, ON",1.6
Employment Status,1012_d - Retired,Age group,55 years or more,"Hamilton, ON",50
Employment Status,1012_d - Retired,Age group,55 years or more,New Brunswick,27.8
Employment Status,1012_d - Retired,Age group,40 to 54 years,Newfoundland,3.4
Employment Status,1012_d - Retired,Age group,55 years or more,Newfoundland,18.2
Employment Status,1012_d - Retired,Gender lived,CisF,"Central and Northern Vancouver Island, BC",3.3
Employment Status,1012_d - Retired,Gender lived,CisM,"Central and Northern Vancouver Island, BC",2.6
Employment Status,1012_d - Retired,Gender lived,CisF,"Prince Albert, SK",2.4
Employment Status,1012_d - Retired,Gender lived,CisM,"Prince Albert, SK",1.1
Employment Status,1012_d - Retired,Gender lived,CisF,"Regina, SK",2.6
Employment Status,1012_d - Retired,Gender lived,CisM,"Regina, SK",2.5
Employment Status,1012_d - Retired,Gender lived,CisF,"Winnipeg, MN",1.3
Employment Status,1012_d - Retired,Gender lived,CisM,"Winnipeg, MN",8.3
Employment Status,1012_d - Retired,Gender lived,CisF,"Thunder Bay, ON",2.4
Employment Status,1012_d - Retired,Gender lived,CisM,"Thunder Bay, ON",1.7
Employment Status,1012_d - Retired,Gender lived,CisF,"London, ON",2.4
Employment Status,1012_d - Retired,Gender lived,CisM,"London, ON",2.5
Employment Status,1012_d - Retired,Gender lived,CisF,"Hamilton, ON",11.1
Employment Status,1012_d - Retired,Gender lived,CisM,"Hamilton, ON",12.3
Employment Status,1012_d - Retired,Gender lived,TFEM,"Hamilton, ON",50
Employment Status,1012_d - Retired,Gender lived,CisF,New Brunswick,1.4
Employment Status,1012_d - Retired,Gender lived,CisM,New Brunswick,3.2
Employment Status,1012_e - On Disability,None,None,Canada,35.5
Employment Status,1012_e - On Disability,Age group,Less than 25 years,Canada,9.3
Employment Status,1012_e - On Disability,Age group,25 to 39 years,Canada,26.2
Employment Status,1012_e - On Disability,Age group,40 to 54 years,Canada,46.9
Employment Status,1012_e - On Disability,Age group,55 years or more,Canada,57.9
Employment Status,1012_e - On Disability,Gender lived,CisF,Canada,31.9
Employment Status,1012_e - On Disability,Gender lived,CisM,Canada,37.5
Employment Status,1012_e - On Disability,Gender lived,TFEM,Canada,36.8
Employment Status,1012_e - On Disability,Gender lived,TMAS,Canada,28.6
Employment Status,1012_e - On Disability,None,None,"Whitehorse, YK",16.3
Employment Status,1012_e - On Disability,None,None,"Central and Northern Vancouver Island, BC",47.2
Employment Status,1012_e - On Disability,None,None,"Prince Albert, SK",27
Employment Status,1012_e - On Disability,None,None,"Regina, SK",45.6
Employment Status,1012_e - On Disability,None,None,"Winnipeg, MN",25.6
Employment Status,1012_e - On Disability,None,None,"Thunder Bay, ON",39.2
Employment Status,1012_e - On Disability,None,None,"London, ON",47.8
Employment Status,1012_e - On Disability,None,None,"Hamilton, ON",58.3
Employment Status,1012_e - On Disability,None,None,New Brunswick,15.1
Employment Status,1012_e - On Disability,None,None,Newfoundland,15.4
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"Whitehorse, YK",7.1
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"Whitehorse, YK",40
Employment Status,1012_e - On Disability,Age group,Less than 25 years,"Central and Northern Vancouver Island, BC",22.7
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"Central and Northern Vancouver Island, BC",33
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"Central and Northern Vancouver Island, BC",73.9
Employment Status,1012_e - On Disability,Age group,55 years or more,"Central and Northern Vancouver Island, BC",78.9
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"Prince Albert, SK",24.5
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"Prince Albert, SK",30.9
Employment Status,1012_e - On Disability,Age group,55 years or more,"Prince Albert, SK",37.5
Employment Status,1012_e - On Disability,Age group,Less than 25 years,"Regina, SK",11.1
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"Regina, SK",37.2
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"Regina, SK",54.3
Employment Status,1012_e - On Disability,Age group,55 years or more,"Regina, SK",52.2
Employment Status,1012_e - On Disability,Age group,Less than 25 years,"Winnipeg, MN",5.3
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"Winnipeg, MN",22.8
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"Winnipeg, MN",31.1
Employment Status,1012_e - On Disability,Age group,55 years or more,"Winnipeg, MN",40
Employment Status,1012_e - On Disability,Age group,Less than 25 years,"Thunder Bay, ON",23.8
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"Thunder Bay, ON",29.2
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"Thunder Bay, ON",59.6
Employment Status,1012_e - On Disability,Age group,55 years or more,"Thunder Bay, ON",53.3
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"London, ON",36.8
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"London, ON",54.3
Employment Status,1012_e - On Disability,Age group,55 years or more,"London, ON",88
Employment Status,1012_e - On Disability,Age group,25 to 39 years,"Hamilton, ON",43.4
Employment Status,1012_e - On Disability,Age group,40 to 54 years,"Hamilton, ON",60.9
Employment Status,1012_e - On Disability,Age group,55 years or more,"Hamilton, ON",80.6
Employment Status,1012_e - On Disability,Age group,25 to 39 years,New Brunswick,8.3
Employment Status,1012_e - On Disability,Age group,40 to 54 years,New Brunswick,25.3
Employment Status,1012_e - On Disability,Age group,55 years or more,New Brunswick,16.7
Employment Status,1012_e - On Disability,Age group,25 to 39 years,Newfoundland,11.1
Employment Status,1012_e - On Disability,Age group,40 to 54 years,Newfoundland,33.3
Employment Status,1012_e - On Disability,Age group,55 years or more,Newfoundland,27.3
Employment Status,1012_e - On Disability,Gender lived,CisF,"Whitehorse, YK",4
Employment Status,1012_e - On Disability,Gender lived,CisM,"Whitehorse, YK",29.2
Employment Status,1012_e - On Disability,Gender lived,CisF,"Central and Northern Vancouver Island, BC",46.7
Employment Status,1012_e - On Disability,Gender lived,CisM,"Central and Northern Vancouver Island, BC",47.9
Employment Status,1012_e - On Disability,Gender lived,CisF,"Prince Albert, SK",23.2
Employment Status,1012_e - On Disability,Gender lived,CisM,"Prince Albert, SK",29.7
Employment Status,1012_e - On Disability,Gender lived,TFEM,"Prince Albert, SK",50
